id,text,allophone_ids,allophone_values_ipa,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
346,ita,"[43,58,41]","[""i"",""t"",""ɑ""]",0,VERB,PERFECT,,
510,jabali,"[66,41,48,41,63,43]","[""ʄ"",""ɑ"",""ɓ"",""ɑ"",""l"",""i""]",0,NOUN,PERFECT,,
353,jagi,"[66,41,72,43]","[""ʄ"",""ɑ"",""ɠ"",""i""]",0,,PERFECT,,
563,jamvi,"[66,41,50,43]","[""ʄ"",""ɑ"",""mv"",""i""]",0,NOUN,PERFECT,,
582,jaribio,"[66,41,62,43,48,43,44]","[""ʄ"",""ɑ"",""ɾ"",""i"",""ɓ"",""i"",""ɔ""]",0,NOUN,PERFECT,,
546,jeep,"[66,42,42,49]","[""ʄ"",""ɛ"",""ɛ"",""p""]",0,NOUN,PERFECT,,
635,jengo,"[68,42,71,44]","[""ʃ"",""ɛ"",""ŋɡ"",""ɔ""]",0,NOUN,PERFECT,,
356,jicho,"[66,43,58,68,44]","[""ʄ"",""i"",""t"",""ʃ"",""ɔ""]",0,NOUN,PERFECT,,
352,jiko,"[66,43,73,44]","[""ʄ"",""i"",""k"",""ɔ""]",0,NOUN,PERFECT,,
605,jino,"[66,43,55,44]","[""ʄ"",""i"",""n"",""ɔ""]",0,NOUN,PERFECT,,
503,jipu,"[66,43,49,45]","[""ʄ"",""i"",""p"",""u""]",0,VERB,PERFECT,,
357,jirushe,"[66,43,62,45,61,77,42]","[""ʄ"",""i"",""ɾ"",""u"",""s"",""h"",""ɛ""]",0,,PERFECT,,
549,jiunga,"[66,43,45,71,41]","[""ʄ"",""i"",""u"",""ŋɡ"",""ɑ""]",0,NOUN,PERFECT,,
548,jog,"[66,44,72]","[""ʄ"",""ɔ"",""ɠ""]",0,VERB,PERFECT,,
631,kahawia,"[73,41,77,41,76,43,41]","[""k"",""ɑ"",""h"",""ɑ"",""w"",""i"",""ɑ""]",0,ADJECTIVE,PERFECT,,
578,kalamu,"[73,41,63,41,46,45]","[""k"",""ɑ"",""l"",""ɑ"",""m"",""u""]",0,NOUN,PERFECT,,
362,karoti,"[73,41,62,44,58,43]","[""k"",""ɑ"",""ɾ"",""ɔ"",""t"",""i""]",0,NOUN,PERFECT,,
359,kasuku,"[73,41,61,45,73,45]","[""k"",""ɑ"",""s"",""u"",""k"",""u""]",0,NOUN,PERFECT,,
