id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
95,ano,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""n""],""id"":5,""letters"":[""n""],""usageCount"":1958},{""sounds"":[""ɔː""],""id"":31,""letters"":[""o""],""usageCount"":138}]",37,,PERFECT,,
96,krak,[],0,,PERFECT,,
97,akong,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""k""],""id"":17,""letters"":[""k""],""usageCount"":935},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1041},{""sounds"":[""ŋ""],""id"":23,""letters"":[""n"",""g""],""usageCount"":1782}]",26,PRONOUN,PHONEMIC,,
98,nakito,[],0,VERB,PERFECT,106,makita
99,ate,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1067},{""sounds"":[""ɛ""],""id"":21,""letters"":[""e""],""usageCount"":118}]",8,NOUN,,,
100,maraming,[],0,,PHONEMIC,,
101,naming,[],0,,PHONEMIC,,
102,nakakalipad,[],0,VERB,PERFECT,,
103,kuwago,[],0,NOUN,PERFECT,,
104,naging,[],0,VERB,PHONEMIC,38,maging
105,magiging,[],0,VERB,PHONEMIC,38,maging
106,makita,[],0,VERB,PERFECT,,
107,isda,[],0,NOUN,PERFECT,,
108,sayaw,[],0,VERB,PERFECT,,
109,makakasayaw,[],0,VERB,PERFECT,108,sayaw
110,kung,"[{""sounds"":[""k""],""id"":17,""letters"":[""k""],""usageCount"":935},{""sounds"":[""u""],""id"":11,""letters"":[""u""],""usageCount"":525},{""sounds"":[""ŋ""],""id"":23,""letters"":[""n"",""g""],""usageCount"":1782}]",55,,NON_PHONEMIC,,
111,sasayaw,[],0,VERB,PERFECT,108,sayaw
112,siyang,"[{""sounds"":[""ʃ""],""id"":24,""letters"":[""s"",""i"",""y""],""usageCount"":129},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""ŋ""],""id"":23,""letters"":[""n"",""g""],""usageCount"":1782}]",25,,,23,siya
113,paa,[],0,NOUN,PERFECT,,
114,makikita,[],0,VERB,PERFECT,106,makita
115,makakita,[],0,VERB,PERFECT,,
116,nakakita,[],0,VERB,PERFECT,115,makakita
117,habulin,"[{""sounds"":[""h""],""id"":13,""letters"":[""h""],""usageCount"":277},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""b""],""id"":4,""letters"":[""b""],""usageCount"":543},{""sounds"":[""uː""],""id"":33,""letters"":[""u""],""usageCount"":157},{""sounds"":[""l""],""id"":16,""letters"":[""l""],""usageCount"":711},{""sounds"":[""ɪ""],""id"":14,""letters"":[""i""],""usageCount"":1258},{""sounds"":[""n""],""id"":5,""letters"":[""n""],""usageCount"":1958}]",0,VERB,,,
