id,text,allophone_ids,allophone_values_ipa,usage_count,word_type,spelling_consistency
629,drive,[],[],0,,
102,drum,"[21,38,6,35]","[""d"",""r"",""ʌ"",""m""]",0,,
97,duck,"[21,6,19]","[""d"",""ʌ"",""k""]",0,,
95,eagle,"[78,4,22,10,34]","[""ˈ"",""i"",""g"",""ə"",""l""]",0,,
90,egg,"[7,22]","[""ɛ"",""g""]",0,,
93,eggplant,"[78,7,22,79,17,34,5,36,18]","[""ˈ"",""ɛ"",""g"",""ˌ"",""p"",""l"",""æ"",""n"",""t""]",0,,
9,eight,"[15,18]","[""ɛɪ"",""t""]",0,,
684,eighteen,"[15,18,4,36]","[""ɛɪ"",""t"",""i"",""n""]",0,,
677,eleven,"[8,78,34,7,26,10,36]","[""ɪ"",""ˈ"",""l"",""ɛ"",""v"",""ə"",""n""]",0,,
396,fan,"[25,5,36]","[""f"",""æ"",""n""]",0,,
681,fifteen,"[25,8,25,78,18,4,36]","[""f"",""ɪ"",""f"",""ˈ"",""t"",""i"",""n""]",0,,
699,fifty,"[78,25,8,25,18,4]","[""ˈ"",""f"",""ɪ"",""f"",""t"",""i""]",0,,
700,fifty one,"[25,4,25,18,4]","[""f"",""i"",""f"",""t"",""i""]",0,,
666,finger,"[78,25,8,37,22,10,38]","[""ˈ"",""f"",""ɪ"",""ŋ"",""g"",""ə"",""r""]",0,,
83,fish,"[25,8,31]","[""f"",""ɪ"",""ʃ""]",0,,
6,five,"[25,1,8,26]","[""f"",""ɑ"",""ɪ"",""v""]",0,,
400,fix,"[25,8,19,29]","[""f"",""ɪ"",""k"",""s""]",0,,
401,fizz,"[25,8,30]","[""f"",""ɪ"",""z""]",0,,
402,fluff,"[25,34,6,25]","[""f"",""l"",""ʌ"",""f""]",0,,
670,fly,"[25,34,1,8]","[""f"",""l"",""ɑ"",""ɪ""]",0,,
403,fog,"[25,2,22]","[""f"",""ɔ"",""g""]",0,,
404,foot,"[25,9,18]","[""f"",""ʊ"",""t""]",0,,
698,forty,"[78,25,2,38,18,4]","[""ˈ"",""f"",""ɔ"",""r"",""t"",""i""]",0,,
680,fourteen,"[78,25,2,38,78,18,4,36]","[""ˈ"",""f"",""ɔ"",""r"",""ˈ"",""t"",""i"",""n""]",0,,
406,fox,"[25,1,19,29]","[""f"",""ɑ"",""k"",""s""]",0,,
87,frog,"[25,38,1,22]","[""f"",""r"",""ɑ"",""g""]",0,,
407,fuel,"[78,25,40,3,10,34]","[""ˈ"",""f"",""j"",""u"",""ə"",""l""]",0,,
31,funny,"[78,25,6,36,4]","[""ˈ"",""f"",""ʌ"",""n"",""i""]",0,,
408,gas,"[22,5,29]","[""g"",""æ"",""s""]",0,,
79,gate,"[22,7,8,18]","[""g"",""ɛ"",""ɪ"",""t""]",0,,
80,gift,"[22,8,25,18]","[""g"",""ɪ"",""f"",""t""]",0,,
158,giraffe,"[24,10,78,38,5,25]","[""dʒ"",""ə"",""ˈ"",""r"",""æ"",""f""]",0,,
409,glue,"[22,34,3]","[""g"",""l"",""u""]",0,,
655,gray,[],[],0,,
411,ham,"[33,5,35]","[""h"",""æ"",""m""]",0,,
191,hammer,"[78,33,5,35,10,38]","[""ˈ"",""h"",""æ"",""m"",""ə"",""r""]",0,,
192,hat,"[33,5,18]","[""h"",""æ"",""t""]",0,,
33,help,"[33,7,34,17]","[""h"",""ɛ"",""l"",""p""]",0,,
414,hill,"[33,8,34]","[""h"",""ɪ"",""l""]",0,,
187,hippo,"[78,33,8,17,10,9]","[""ˈ"",""h"",""ɪ"",""p"",""ə"",""ʊ""]",0,,
416,hit,"[33,8,18]","[""h"",""ɪ"",""t""]",0,VERB,PERFECT
164,ice cream,[],[],0,NOUN,HIGHLY_NON_PHONEMIC
161,iguana,[],[],0,NOUN,HIGHLY_PHONEMIC
419,ill,"[8,34]","[""ɪ"",""l""]",0,ADJECTIVE,PERFECT
